name,team,battingStyle,playingRole,bowlingStyle,description
Mark Adair,Ireland,Right hand Bat,Bowling Allrounder,Right arm Fast medium,"Mark Adair is a tall, seam-bowling allrounder from Northern Ireland who made his first-class debut for Warwickshire while still a teenager at the end of the 2015 season. From a sporting family - his father was a goalkeeper at a decent level and his brother plays rugby and represented Ireland at cricket at age-group level - Adair also showed promise in rugby but committed to cricket having been offered a trial by Warwickshire in 2013. He has represented Ireland at age-group and A team level and claimed the wicket of Marcus Trescothick as his maiden victim in first-class cricket. He was released by Warwickshire at the end of the 2017 season and has since played for Northern Knights and Durham's second team.

George Dobell"
Sherfane Rutherford,West Indies,Left hand Bat,Middle order Batter,Right arm Fast medium,
Harry Tector,Ireland,Right hand Bat,Middle order Batter,Right arm Offbreak,Born into a cricketing family - his brothers Jack and Tim also captained Ireland at U19 World Cups - Harry Tector has quietly amassed an impressive record in the senior side since cementing a spot in the post-Covid era. 
Josh Hazlewood,Australia,Left hand Bat,Bowler,Right arm Fast medium,"A tall and accurate fast bowler who is unrelenting in his line and length, Josh Hazlewood became a fixture in Australia's Test attack as soon as he made his debut in December 2014 and has gone on to enjoy success across all formats. "
Ravinderpal Singh,Canada,Right hand Bat,Batter,Right arm Offbreak,
Michael Levitt,Netherlands,Right hand Bat,Top order Batter,Right arm Fast,
Curtis Campher,Ireland,Right hand Bat,Allrounder,Right arm Medium fast,"Born in Johannesburg, raised in South Africa and a player for the national Under-19 side, Curtis Campher decided to leave his homeland behind and put his Irish passport to good use in early 2020, declaring his intentions to move to Ireland and play for the national team. He went on the Ireland Wolves' tour to Namibia early that year, and impressed sufficiently to win a place in the squad for a three-match ODI series in England in July."
Adam Zampa,Australia,Right hand Bat,Bowler,Legbreak Googly,"Adam Zampa has developed into Australia's leading white-ball spinner, and only behind Shane Warne to have done the role in the limited-overs formats. "
Sundeep Jora,Nepal,Right hand Bat,Middle order Batter,,
Aqib Ilyas(c),Oman,Right hand Bat,Top order Batter,"Right arm Offbreak, Legbreak Googly",
Ben White,Ireland,Right hand Bat,Bowler,Legbreak,"Ben White was handed his T20I debut during Ireland's 2021 home summer and was picked in their squad for the T20 World Cup later that year. A tall legspinner who bowls quickly and fires the ball in flat, White was viewed as a potential long-term option to fill Ireland's wristspin void.ESPNcricinfo staff"
Scott Edwards(c),Netherlands,Right hand Bat,Wicketkeeper Batter,,"Born in Tonga and raised in Australia, Scott Edwards made his Netherlands debut in 2017 and decided to abandon his electrical apprenticeship and commit to Dutch cricket. Five years later, he was established in the side as an innovative middle-order batter and wicketkeeper, and took over the captaincy when Pieter Seelaar retired."
Josh Little,Ireland,Right hand Bat,Bowler,Left arm Fast medium,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase."
Roger Mukasa,Uganda,Right hand Bat,Batter,Right arm Offbreak,
Assad Vala,Papua New Guinea,Left hand Bat,Batter,Right arm Offbreak,
Michael Leask,Scotland,Right hand Bat,Allrounder,Right arm Offbreak,"Michael Leask is an explosive batsman from Aberdeen. He showed as much when he smeared five sixes during a memorable 16-ball 42 in an ODI against England in May 2014. But he has been hampered by inconsistency, and he only mustered 56 runs at an average of 9.33 during the World Cup Qualifiers in 2014. Leask also bowls useful off-spin, taking three wickets in Scotland's win over Tasmania in their World Cup acclimatisation tour in autumn 2014.
Leask played a solitary first-class game for Northants in a tour match against New Zealand A in 2014. He moved on to Somerset ahead of the 2016 season with Somerset's director of cricket Matt Maynard describing him as a ""feisty cricketer"". A scattering of T20 matches were his only outings in his debut season.

ESPNcricinfo staff"
